tksprio,TIC,TOI,CPS_NAME,RCS-Lead,Programs,"Fits ran (Npl, circ, ecc, trend, curv, gp)",Fit preferred (official file name without .py),HIRES/APF,N_Keck_Oct2020,N_APF_Oct2020,"Is there additional data? If so, what?","Status (published, cooked, discuss...)",Mass measurement confidence,Date last evaluated,Comments,Observing recommendation,color,spectral_type,vsini [km/s],prot [d],sval,logrhk,jitter [m/s],activity
23,306263608,1471,12572,Alex,"SC3, SC2A","1pl_circ_trend_hires, 1pl_circ_trend, 1pl_ecc_trend",eccentric,,24,39,,,,,This is a monster that needs some love,,r,-,1.73,,0.128,-5.234,1.98,296.92
50,408636441,1759,T001759,Alex,"SC2A, SC1D, SC3","1pl_circ, 1pl_circ_trend, 1pl_ecc_trend",1pl_ecc_trend,HIRES,19,0,,,2.2,,,,y,-,0.82,,0.154,-5.06,2.11,349.29
31,408618999,1736,T001736,Alex,"SC1B, SC1A, SC3, SC4","1pl_circ_trend, 1pl_ecc_trend",2pl,,29,0,,,,,Possible companion ~128 days,Keep observing at current cadence,y,-,10.83,,0.137,-5.166,2.1,331.89
52,116483514,1411,GJ9522A,Alex,SC2A,"1_pl_circ_trend, 2_pl_circ_notrend",default,,27,0,,,,,"Correlated residuals, ~39 day period",,y,-,1.43,,0.161,-4.972,2.55,374.75
57,169765334,329,T000329,Alex,SC4,"1pl_circ_trend, 1pl_ecc_trend",1pl_ecc_trend,,22,0,,,6.5,,,Needs more phase coverage,y,-,3.41,,0.111,-5.385,1.9,250.79
44,207468071,1836,148193,Alex,SC4,"1pl_circ_trend, 1pl_circ_notrend, 1pl_ecc_trend",1pl_circ_notrend,,19,0,,,2,,,,y,-,,,,,,
46,139375960,1601,T001601,Alex,SC4,"1pl_circ_trend, 1_pl_circ_notrend",1pl_circ_notrend,,17,0,,Discuss,17.6,11/17,"discussed. paper in prep from Ashley, potentially including TRES RVs. collecting a few RVs still to see if there's a trend",,g,-,1.31,,0.135,-5.206,2.02,293.26
47,9828416,2114,T002114,Alex,SC4,"1pl_circ_trend, 1pl_circ_notrend, 1pl_ecc_trend, 1pl_ecc_notrend",default,,11,0,,,,,,,w,-,5.12,,0.158,-5.027,2.42,472.72
62,367858035,1758,T001758,Alex,SC2A,not enough RVs,default,,4,0,,,,,,,w,G5V,2.32,,0.147,-5.097,2.08,345.4
34,368435330,1797,93963,Alex,"SC2A, SC1A, SC1B",not enough RVs,,,0,0,,,,,,,w,M0.5Ve,3.74,,0.671,-4.89,1.6,345.45
